person_id,arrest_id,arrest_date,charge_no,charge_degree,offense_category
1064269,4600673,2017-12-22,4,misdemeanor,other
1064269,4600673,2017-12-22,1,misdemeanor,other
1064269,4600673,2017-12-22,2,misdemeanor,other
1064269,4600673,2017-12-22,3,felony,other
78714,4283508,2018-02-25,1,misdemeanor,other
78714,4283508,2018-02-25,2,misdemeanor,other
1064849,12005527,2018-07-12,1,misdemeanor,other
54084,7285958,2016-03-31,1,misdemeanor,other
336996,5665561,2017-06-08,2,misdemeanor,other
336996,5665561,2017-06-08,1,misdemeanor,property
39115,6660911,2016-09-07,1,misdemeanor,other
39115,6660911,2016-09-07,2,misdemeanor,other
39566,4203894,2018-03-10,1,misdemeanor,other
39566,4203894,2018-03-10,2,misdemeanor,other
1984056,3680498,2018-05-30,1,misdemeanor,other
1984056,3680498,2018-05-30,2,misdemeanor,other
1984056,3680498,2018-05-30,3,misdemeanor,drug
1501775,5748772,2017-05-21,1,misdemeanor,other
1239628,5748748,2017-05-21,1,misdemeanor,other
1239628,5748748,2017-05-21,2,misdemeanor,drug
1131207,7137636,2016-05-11,1,misdemeanor,other
1131207,7137636,2016-05-11,2,misdemeanor,other
873321,3187805,2018-08-11,1,misdemeanor,other
873321,3187805,2018-08-11,2,misdemeanor,other
70965,6147625,2017-02-07,1,misdemeanor,other
70965,6147625,2017-02-07,2,misdemeanor,other
70965,6147625,2017-02-07,3,misdemeanor,other
2848030,5168712,2017-09-16,1,misdemeanor,other
2848030,5168712,2017-09-16,2,misdemeanor,other
3217671,5227236,2017-09-08,1,misdemeanor,other
3217676,5627675,2017-06-18,1,misdemeanor,other
3301677,4476618,2018-01-21,1,misdemeanor,other
32838,6000003,2017-03-17,2,misdemeanor,other
32838,6000003,2017-03-17,1,misdemeanor,other
1305695,7605078,2016-01-01,2,misdemeanor,other
1305695,7605078,2016-01-01,1,misdemeanor,other
2872053,2616215,2018-11-30,1,misdemeanor,other
2872053,2616215,2018-11-30,2,misdemeanor,other
88033,2900420,2018-10-08,1,misdemeanor,other
88033,2900420,2018-10-08,2,misdemeanor,other
3192380,5503717,2017-07-15,1,misdemeanor,other
3199717,7464410,2016-02-15,1,misdemeanor,other
3199717,7464410,2016-02-15,2,misdemeanor,other
1662089,4569615,2018-01-02,1,misdemeanor,other
1662089,4569615,2018-01-02,2,misdemeanor,other
1662089,4569615,2018-01-02,3,misdemeanor,other
1610281,2866046,2018-10-14,1,misdemeanor,other
1610281,2866046,2018-10-14,2,misdemeanor,drug
859806,4763045,2017-11-24,1,misdemeanor,other
2587222,5070287,2017-10-04,1,misdemeanor,other
2596445,4535976,2018-01-10,1,misdemeanor,other
1114204,7552287,2016-01-16,1,misdemeanor,other
1114204,7552287,2016-01-16,2,misdemeanor,other
1114204,7552287,2016-01-16,3,misdemeanor,other
2589846,4776858,2017-11-21,3,misdemeanor,other
2589846,4776858,2017-11-21,1,misdemeanor,other
2589846,4776858,2017-11-21,2,misdemeanor,other
2590784,4934415,2017-10-29,2,misdemeanor,other
2590784,4934415,2017-10-29,3,misdemeanor,other
2590784,4934415,2017-10-29,1,misdemeanor,property
2590784,4934415,2017-10-29,4,misdemeanor,other
2598148,3391568,2018-07-22,4,misdemeanor,other
2598148,3391568,2018-07-22,3,misdemeanor,drug
2598148,3391568,2018-07-22,1,misdemeanor,drug
2598148,3391568,2018-07-22,2,misdemeanor,drug
80250,3866579,2018-04-26,5,misdemeanor,other
80250,3866579,2018-04-26,1,misdemeanor,other
80250,3866579,2018-04-26,2,misdemeanor,drug
80250,3866579,2018-04-26,3,felony,other
80250,3866579,2018-04-26,4,misdemeanor,drug
80250,3866579,2018-04-26,6,felony,drug
79996,7247808,2016-04-12,1,misdemeanor,other
79996,7247808,2016-04-12,2,misdemeanor,other
1097165,5830825,2017-04-29,2,misdemeanor,other
1097165,5830825,2017-04-29,1,misdemeanor,other
1073717,7400765,2016-03-01,1,misdemeanor,other
1081928,4392731,2018-02-05,1,misdemeanor,other
79765,6019654,2017-03-11,1,misdemeanor,other
79765,6019654,2017-03-11,2,misdemeanor,other
212188,6794013,2016-07-31,1,misdemeanor,other
